Depth,DENB,GRDE,CADE                    
27.600,2.380,96.850,114.420,
27.700,2.410,107.370,113.960,
27.800,2.430,103.590,113.530,
27.900,2.440,115.760,113.420,
28.000,2.400,125.130,113.710,
28.100,2.360,160.650,114.150,
28.200,2.340,158.680,114.640,
28.300,2.330,118.060,115.100,
28.400,2.330,152.760,115.430,
28.500,2.310,128.260,115.590,
28.600,2.310,122.500,115.680,
28.700,2.320,139.770,116.050,
28.800,2.350,126.450,116.450,
28.900,2.360,126.450,116.750,
29.000,2.360,152.760,116.760,
29.100,2.350,125.460,116.760,
29.200,2.350,155.390,116.810,
29.300,2.350,119.540,117.060,
29.400,2.360,129.410,117.460,
29.500,2.370,131.050,117.820,
29.600,2.370,119.540,118.020,
29.700,2.380,149.300,118.010,
29.800,2.370,151.110,118.030,
29.900,2.350,147.820,118.030,
30.000,2.340,127.930,118.050,
30.100,2.320,127.600,118.040,
30.200,2.320,110.660,118.020,
30.300,2.340,116.090,118.050,
30.400,2.360,88.460,118.050,
30.500,2.380,94.880,118.060,
30.600,2.370,94.220,118.030,
30.700,2.370,119.050,118.040,
30.800,2.370,132.040,118.010,
30.900,2.370,87.150,118.020,
31.000,2.370,146.510,118.010,
31.100,2.280,103.920,118.340,
31.200,2.200,131.380,119.050,
31.300,2.170,98.820,118.750,
31.400,2.250,125.630,117.720,
31.500,2.320,122.670,116.290,
31.600,2.340,151.930,115.710,
31.700,2.360,116.580,115.250,
31.800,2.390,147.500,114.810,
31.900,2.410,145.360,114.480,
32.000,2.400,139.600,114.440,
32.100,2.370,129.240,114.300,
32.200,2.350,138.620,114.030,
32.300,2.350,138.120,113.760,
32.400,2.370,104.580,113.570,
32.500,2.390,100.800,113.600,
32.600,2.400,128.090,113.780,
32.700,2.400,129.240,114.090,
32.800,2.390,132.200,114.350,
32.900,2.400,142.560,114.370,
33.000,2.410,156.370,113.960,
33.100,2.420,93.400,113.570,
33.200,2.420,130.230,113.240,
33.300,2.410,122.830,113.070,
33.400,2.410,112.800,112.690,
33.500,2.430,105.400,112.270,
33.600,2.440,106.060,111.750,
33.700,2.430,107.210,111.360,
33.800,2.410,146.510,111.010,
33.900,2.380,112.800,110.900,
34.000,2.360,99.970,110.850,
34.100,2.340,93.730,110.660,
34.200,2.340,145.850,110.250,
34.300,2.370,145.360,109.890,
34.400,2.380,168.540,109.700,
34.500,2.380,145.850,109.700,
34.600,2.380,148.810,109.690,
34.700,2.380,119.380,109.680,
34.800,2.400,106.550,109.690,
34.900,2.410,106.880,109.680,
35.000,2.420,110.830,109.620,
35.100,2.410,117.900,109.320,
35.200,2.410,84.350,108.880,
35.300,2.400,104.580,108.180,
35.400,2.390,80.080,107.320,
35.500,2.400,96.850,106.630,
35.600,2.410,76.300,106.240,
35.700,2.430,95.860,106.250,
35.800,2.440,103.100,106.260,
35.900,2.430,106.220,106.290,
36.000,2.440,93.400,106.390,
36.100,2.430,100.140,106.810,
36.200,2.430,110.170,107.440,
36.300,2.410,111.480,108.040,
36.400,2.400,130.230,108.330,
36.500,2.400,119.050,108.410,
36.600,2.410,135.000,108.450,
36.700,2.410,130.560,108.460,
36.800,2.420,128.090,108.460,
36.900,2.420,113.130,108.430,
37.000,2.430,102.610,108.430,
37.100,2.420,137.460,108.420,
37.200,2.430,140.750,108.440,
37.300,2.430,83.700,108.450,
37.400,2.450,104.410,108.450,
37.500,2.440,115.270,108.440,
37.600,2.430,141.580,108.380,
37.700,2.430,143.550,108.300,
37.800,2.460,123.820,108.270,
37.900,2.470,107.700,108.330,
38.000,2.430,109.350,108.410,
38.100,2.420,137.630,108.430,
38.200,2.420,116.090,108.350,
38.300,2.420,113.790,108.330,
38.400,2.400,79.910,108.360,
38.500,2.380,145.520,108.430,
38.600,2.370,143.060,108.430,
38.700,2.370,127.760,108.410,
38.800,2.380,141.580,108.420,
38.900,2.410,128.590,108.470,
39.000,2.420,143.220,108.480,
39.100,2.410,148.480,108.460,
39.200,2.400,113.620,108.530,
39.300,2.400,146.020,108.680,
39.400,2.400,126.280,108.970,
