Depth,DENB,GRDE,CADE                    
26.8,2.36,85.18,113.36
26.9,2.37,128.26,113.88
27,2.37,152.76,114.38
27.1,2.37,88.79,114.7
27.2,2.36,149.47,114.76
27.3,2.36,141.74,114.78
27.4,2.36,130.07,114.79
27.5,2.37,115.27,114.7
27.6,2.38,96.85,114.42
27.7,2.41,107.37,113.96
27.8,2.43,103.59,113.53
27.9,2.44,115.76,113.42
28,2.4,125.13,113.71
28.1,2.36,160.65,114.15
28.2,2.34,158.68,114.64
28.3,2.33,118.06,115.1
28.4,2.33,152.76,115.43
28.5,2.31,128.26,115.59
28.6,2.31,122.5,115.68
28.7,2.32,139.77,116.05
28.8,2.35,126.45,116.45
28.9,2.36,126.45,116.75
29,2.36,152.76,116.76
29.1,2.35,125.46,116.76
29.2,2.35,155.39,116.81
29.3,2.35,119.54,117.06
29.4,2.36,129.41,117.46
29.5,2.37,131.05,117.82
29.6,2.37,119.54,118.02
29.7,2.38,149.3,118.01
29.8,2.37,151.11,118.03
29.9,2.35,147.82,118.03
30,2.34,127.93,118.05
30.1,2.32,127.6,118.04
30.2,2.32,110.66,118.02
30.3,2.34,116.09,118.05
30.4,2.36,88.46,118.05
30.5,2.38,94.88,118.06
30.6,2.37,94.22,118.03
30.7,2.37,119.05,118.04
30.8,2.37,132.04,118.01
30.9,2.37,87.15,118.02
31,2.37,146.51,118.01
31.1,2.28,103.92,118.34
31.2,2.2,131.38,119.05
31.3,2.17,98.82,118.75
31.4,2.25,125.63,117.72
31.5,2.32,122.67,116.29
31.6,2.34,151.93,115.71
31.7,2.36,116.58,115.25
31.8,2.39,147.5,114.81
31.9,2.41,145.36,114.48
32,2.4,139.6,114.44
32.1,2.37,129.24,114.3
32.2,2.35,138.62,114.03
32.3,2.35,138.12,113.76
32.4,2.37,104.58,113.57
32.5,2.39,100.8,113.6
32.6,2.4,128.09,113.78
32.7,2.4,129.24,114.09
32.8,2.39,132.2,114.35
32.9,2.4,142.56,114.37
33,2.41,156.37,113.96
33.1,2.42,93.4,113.57
33.2,2.42,130.23,113.24
33.3,2.41,122.83,113.07
33.4,2.41,112.8,112.69
33.5,2.43,105.4,112.27
33.6,2.44,106.06,111.75
33.7,2.43,107.21,111.36
33.8,2.41,146.51,111.01
33.9,2.38,112.8,110.9
34,2.36,99.97,110.85
34.1,2.34,93.73,110.66
34.2,2.34,145.85,110.25
34.3,2.37,145.36,109.89
34.4,2.38,168.54,109.7
34.5,2.38,145.85,109.7
34.6,2.38,148.81,109.69
34.7,2.38,119.38,109.68
34.8,2.4,106.55,109.69
34.9,2.41,106.88,109.68
35,2.42,110.83,109.62
35.1,2.41,117.9,109.32
35.2,2.41,84.35,108.88
35.3,2.4,104.58,108.18
35.4,2.39,80.08,107.32
35.5,2.4,96.85,106.63
35.6,2.41,76.3,106.24
35.7,2.43,95.86,106.25
35.8,2.44,103.1,106.26
35.9,2.43,106.22,106.29
36,2.44,93.4,106.39
36.1,2.43,100.14,106.81
36.2,2.43,110.17,107.44
36.3,2.41,111.48,108.04
36.4,2.4,130.23,108.33
36.5,2.4,119.05,108.41
36.6,2.41,135,108.45
36.7,2.41,130.56,108.46
36.8,2.42,128.09,108.46
36.9,2.42,113.13,108.43
37,2.43,102.61,108.43
37.1,2.42,137.46,108.42
37.2,2.43,140.75,108.44
37.3,2.43,83.7,108.45
37.4,2.45,104.41,108.45
37.5,2.44,115.27,108.44
37.6,2.43,141.58,108.38
37.7,2.43,143.55,108.3
37.8,2.46,123.82,108.27
37.9,2.47,107.7,108.33
38,2.43,109.35,108.41
38.1,2.42,137.63,108.43
38.2,2.42,116.09,108.35
38.3,2.42,113.79,108.33
38.4,2.4,79.91,108.36
38.5,2.38,145.52,108.43
38.6,2.37,143.06,108.43
38.7,2.37,127.76,108.41
38.8,2.38,141.58,108.42
38.9,2.41,128.59,108.47
39,2.42,143.22,108.48
39.1,2.41,148.48,108.46
39.2,2.4,113.62,108.53
39.3,2.4,146.02,108.68
39.4,2.4,126.28,108.97
39.5,2.39,104.09,109.28
39.6,2.38,140.42,109.56
39.7,2.39,140.26,109.68
39.8,2.41,95.37,109.69
39.9,2.42,134.01,109.57
40,2.42,111.81,109.17
40.1,2.43,102.11,108.74
40.2,2.43,112.47,108.45
40.3,2.42,145.69,108.44
40.4,2.41,113.79,108.45
40.5,2.41,134.67,108.45
40.6,2.41,114.94,108.45
40.7,2.4,156.54,108.45
40.8,2.4,129.74,108.46
40.9,2.4,125.13,108.47
41,2.41,131.22,108.45
41.1,2.41,163.61,108.45
41.2,2.42,133.68,108.43
41.3,2.42,146.02,108.39
41.4,2.42,146.18,108.09
41.5,2.43,162.29,107.37
41.6,2.43,128.75,106.7
41.7,2.42,142.07,106.27
41.8,2.41,140.1,106.38
41.9,2.4,144.86,106.93
42,2.41,137.96,107.57
42.1,2.41,138.94,108.08
42.2,2.43,120.69,108.16
42.3,2.43,100.96,108.15
42.4,2.44,120.53,108.19
42.5,2.44,103.1,108.22
42.6,2.44,146.18,108.23
42.7,2.44,127.27,108.19
42.8,2.44,137.46,108.16
42.9,2.44,121.35,108.18
43,2.44,98.66,108.2
43.1,2.45,143.88,108.21
43.2,2.44,141.25,108.18
43.3,2.43,182.68,108.18
43.4,2.43,121.84,108.18
43.5,2.42,158.51,108.2
43.6,2.42,153.91,108.21
43.7,2.42,145.85,108.2
43.8,2.43,110.83,108.19
43.9,2.43,145.52,108.18
44,2.43,113.29,108.2
44.1,2.42,130.39,108.21
44.2,2.44,137.63,108.19
44.3,2.44,118.39,108.18
44.4,2.45,147.66,108.18
44.5,2.44,148.15,108.2
44.6,2.45,96.19,108.2
44.7,2.45,142.23,108.19
44.8,2.46,97.51,108.19
44.9,2.45,136.97,108.21
45,2.45,123.65,108.2
45.1,2.44,145.69,108.22
45.2,2.45,134.67,108.22
45.3,2.44,144.04,108.21
45.4,2.44,110.83,108.19
45.5,2.43,118.06,108.16
45.6,2.43,141.9,108.18
45.7,2.43,126.12,108.2
45.8,2.42,116.75,108.21
45.9,2.43,146.02,108.2
46,2.44,117.24,108.22
46.1,2.43,140.92,108.21
46.2,2.43,142.4,108.17
46.3,2.42,137.3,108.16
46.4,2.43,137.14,108.19
46.5,2.43,156.54,108.15
46.6,2.43,127.43,107.69
46.7,2.42,140.59,107.02
46.8,2.42,117.73,106.43
46.9,2.42,147.82,106.22
47,2.43,191.89,106.18
47.1,2.44,134.18,106.12
47.2,2.43,122.67,106.05
47.3,2.42,123.49,106
47.4,2.4,92.08,106
